Column1,Released,Released2,Title,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
1,4/26/2019,2019,Avengers: Endgame,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,400000000,858373000,1939427564,2797800564
2,7/19/2019,2019,The Lion King,Adventure,Remake,Animation/Live Action,Kids Fiction,260000000,543638043,1112503536,1656141579
3,12/20/2019,2019,Star Wars: The Rise of Skywalker,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,275000000,515202542,557741680,1072944222
4,11/22/2019,2019,Frozen II,Adventure,Original Screenplay,Digital Animation,Kids Fiction,150000000,477373578,970176133,1447549711
5,6/21/2019,2019,Toy Story 4,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,434038008,639356805,1073394813
6,3/8/2019,2019,Captain Marvel,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,175000000,426829839,702900000,1129729839
7,7/2/2019,2019,Spider-Man: Far From Home,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000,390532085,739418016,1129950101
8,5/24/2019,2019,Aladdin,Adventure,Remake,Animation/Live Action,Fantasy,182000000,355559216,693111150,1048670366
9,10/4/2019,2019,Joker,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,55000000,335451311,737271282,1072722593
10,12/13/2019,2019,Jumanji: The Next Level,Adventure,Original Screenplay,Live Action,Science Fiction,125000000,316831246,480342830,797174076
11,9/6/2019,2019,It: Chapter Two,Horror,Original Screenplay,Live Action,Contemporary Fiction,70000000,211593228,257973578,469566806
12,3/22/2019,2019,Us,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,20000000,175084580,81084499,256169079
13,8/2/2019,2019,Fast & Furious Presents: Hobbs & Shaw,Action,Spin-Off,Live Action,Contemporary Fiction,200000000,173956935,585910708,759867643
14,5/17/2019,2019,John Wick: Chapter 3 — Parabellum,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000,171015687,154770095,325785782
15,11/27/2019,2019,Knives Out,Drama,Original Screenplay,Live Action,Contemporary Fiction,40000000,165363254,144504113,309867367
16,2/22/2019,2019,How to Train Your Dragon: The Hidden …,Adventure,Original Screenplay,Digital Animation,Kids Fiction,129000000,160799505,361378441,522177946
17,12/25/2019,2019,1917,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,100000000,159227644,208195395,367423039
18,6/7/2019,2019,The Secret Life of Pets 2,Adventure,Original Screenplay,Digital Animation,Kids Fiction,80000000,158874395,275552196,434426591
19,5/10/2019,2019,Pokémon: Detective Pikachu,Adventure,Based on Game,Animation/Live Action,Kids Fiction,150000000,144105346,288497009,432602355
20,7/26/2019,2019,Once Upon a Time…in Hollywood,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,90000000,142502728,233418444,375921172
21,4/5/2019,2019,Shazam!,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,85000000,140371656,223292877,363664533
22,11/15/2019,2019,Ford v. Ferrari,Drama,Based on Factual Book/Article,Live Action,Dramatization,97600000,117624357,106827345,224451702
23,3/29/2019,2019,Dumbo,Adventure,Remake,Animation/Live Action,Kids Fiction,170000000,114766307,238400000,353166307
24,10/18/2019,2019,Maleficent: Mistress of Evil,Adventure,Original Screenplay,Live Action,Fantasy,185000000,113929605,375416890,489346495
25,1/18/2019,2019,Glass,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,20000000,111048468,135950571,246999039
26,5/31/2019,2019,Godzilla: King of the Monsters,Action,Remake,Live Action,Science Fiction,170000000,110500138,272799777,383299915
27,1/11/2019,2019,The Upside,Comedy,Based on Movie,Live Action,Dramatization,37500000,108235497,17582943,125818440
28,12/25/2019,2019,Little Women,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,42000000,108095955,101705976,209801931
29,2/8/2019,2019,The LEGO Movie 2: The Second Part,Adventure,Based on Toy,Digital Animation,Kids Fiction,99000000,105806508,84324528,190131036
30,9/13/2019,2019,Hustlers,Black Comedy,Based on Factual Book/Article,Live Action,Historical Fiction,20700000,104963598,45509115,150472713
31,10/11/2019,2019,The Addams Family,Adventure,Based on TV,Digital Animation,Kids Fiction,24000000,97185807,102751038,199936845
32,9/20/2019,2019,Downton Abbey,Drama,Based on TV,Live Action,Historical Fiction,0,96853865,97699866,194553731
33,5/31/2019,2019,Rocketman,Drama,Based on Real Life Events,Live Action,Dramatization,41000000,96368160,97158804,193526964
34,2/14/2019,2019,Alita: Battle Angel,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,170000000,85710210,316069529,401779739
35,8/16/2019,2019,Good Boys,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000,83140306,28032914,111173220
36,6/14/2019,2019,Men in Black: International,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,110000000,80001807,173018657,253020464
37,6/26/2019,2019,Annabelle Comes Home,Horror,Original Screenplay,Live Action,Contemporary Fiction,27000000,74152591,154364522,228517113
38,6/28/2019,2019,Yesterday,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,73286650,79809866,153096516
39,3/1/2019,2019,Tyler Perry’s A Madea Family Funeral,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000,73257045,1524954,74781999
40,10/18/2019,2019,Zombieland: Double Tap,Comedy,Original Screenplay,Live Action,Contemporary Fiction,48000000,73118130,49147888,122266018
41,8/23/2019,2019,Angel Has Fallen,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000,69030436,64335016,133365452
42,8/9/2019,2019,Scary Stories to Tell in the Dark,Horror,Based on Fiction Book/Short Story,Live Action,Historical Fiction,28000000,68947075,26660285,95607360
43,12/25/2019,2019,Spies in Disguise,Adventure,Based on Short Film,Digital Animation,Kids Fiction,100000000,66757013,98683680,165440693
44,6/7/2019,2019,Dark Phoenix,Action,Based on Fiction Book/Short Story,Live Action,Super Hero,200000000,65845974,180510921,246356895
45,11/1/2019,2019,Terminator: Dark Fate,Action,Original Screenplay,Animation/Live Action,Science Fiction,185000000,62253077,188119290,250372367
46,11/22/2019,2019,A Beautiful Day in the Neighborhood,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000,61696436,6103236,67799672
47,9/27/2019,2019,Abominable,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000,60716390,126425408,187141798
48,8/9/2019,2019,Dora and the Lost City of Gold,Adventure,Based on TV,Live Action,Kids Fiction,49000000,60477943,56941174,117419117
49,1/4/2019,2019,Escape Room,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,9000000,57000756,98312322,155313078
50,11/8/2019,2019,Midway,Action,Based on Real Life Events,Live Action,Dramatization,100000000,56846802,68121324,124968126
51,4/19/2019,2019,The Curse of La Llorona,Horror,Original Screenplay,Live Action,Contemporary Fiction,9000000,54733739,66927656,121661395
52,4/5/2019,2019,Pet Sematary,Horror,Remake,Live Action,Contemporary Fiction,21000000,54724696,54776450,109501146
53,2/8/2019,2019,What Men Want,Comedy,Based on Movie,Live Action,Contemporary Fiction,20000000,54611903,15300000,69911903
54,10/11/2019,2019,Gisaengchung,Drama,Original Screenplay,Live Action,Contemporary Fiction,11800000,53369745,201359964,254729709
55,9/20/2019,2019,Ad Astra,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000,50188370,85243649,135432019
56,12/13/2019,2019,Uncut Gems,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,50023780,0,50023780
57,2/13/2019,2019,Isn’t it Romantic,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,31000000,48791187,0,48791187
58,10/11/2019,2019,Gemini Man,Action,Original Screenplay,Animation/Live Action,Science Fiction,140000000,48546770,118076935,166623705
59,5/31/2019,2019,MA,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000,45896028,15253725,61149753
60,3/15/2019,2019,Five Feet Apart,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,7000000,45729221,45783890,91513111
61,3/15/2019,2019,Wonder Park,Adventure,Original Screenplay,Digital Animation,Kids Fiction,100000000,45216793,69899191,115115984
62,9/20/2019,2019,Rambo: Last Blood,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,50000000,44819352,46600000,91419352
63,11/8/2019,2019,Playing with Fire,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,44451847,16012510,60464357
64,11/27/2019,2019,Queen & Slim,Drama,Original Screenplay,Live Action,Contemporary Fiction,20000000,43808310,3980510,47788820
65,11/1/2019,2019,Harriet,Drama,Based on Real Life Events,Live Action,Dramatization,17000000,43082155,166219,43248374
66,1/11/2019,2019,A Dog’s Way Home,Drama,Original Screenplay,Live Action,Contemporary Fiction,61000000,41952715,39199790,81152505
67,8/13/2019,2019,The Angry Birds Movie 2,Adventure,Based on Game,Digital Animation,Kids Fiction,65000000,41657076,110310634,151967710
68,4/12/2019,2019,Little,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,40860481,8347436,49207917
69,4/17/2019,2019,Breakthrough,Drama,Based on Factual Book/Article,Live Action,Dramatization,14000000,40713082,8309745,49022827
70,7/12/2019,2019,Crawl,Horror,Original Screenplay,Live Action,Contemporary Fiction,17000000,39014193,50994163,90008356
71,12/25/2019,2019,Just Mercy,Drama,Original Screenplay,Live Action,Dramatization,25000000,36001502,14400000,50401502
72,5/10/2019,2019,The Hustle,Comedy,Remake,Live Action,Contemporary Fiction,21000000,35417038,61993364,97410402
73,5/3/2019,2019,The Intruder,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,8000000,35388976,5204835,40593811
74,11/8/2019,2019,Last Christmas,Romantic Comedy,Based on Song,Live Action,Contemporary Fiction,30000000,35150750,86262879,121413629
75,8/23/2019,2019,Overcomer,Drama,Original Screenplay,Live Action,Contemporary Fiction,5000000,34700142,2948093,37648235
76,10/18/2019,2019,Jojo Rabbit,Black Comedy,Original Screenplay,Live Action,Historical Fiction,14000000,33370906,53746675,87117581
77,2/8/2019,2019,Cold Pursuit,Thriller/Suspense,Based on Movie,Live Action,Contemporary Fiction,60000000,32138862,30460297,62599159
78,12/13/2019,2019,Bombshell,Drama,Based on Real Life Events,Live Action,Dramatization,32000000,31762808,27726887,59489695
79,11/8/2019,2019,Doctor Sleep,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000,31581712,40274527,71856239
80,1/16/2019,2019,Dragon Ball Super: Broly,Action,Based on TV,Digital Animation,Fantasy,8500000,30376755,92371000,122747755
81,5/3/2019,2019,Long Shot,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,30316271,23308153,53624424
82,6/21/2019,2019,Child’s Play,Horror,Remake,Live Action,Contemporary Fiction,0,29208403,14295990,43504393
83,8/21/2019,2019,Ready or Not,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,6000000,28714231,28083161,56797392
84,11/22/2019,2019,21 Bridges,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,33000000,28539757,11473888,40013645
85,2/13/2019,2019,Happy Death Day 2U,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,9000000,28148130,36538385,64686515
86,7/3/2019,2019,Midsommar,Horror,Original Screenplay,Live Action,Contemporary Fiction,9000000,27426363,19417067,46843430
87,12/20/2019,2019,Cats,Musical,Based on Musical or Opera,Animation/Live Action,Fantasy,100000000,27166770,48318516,75485286
88,8/9/2019,2019,The Art of Racing in the Rain,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000,26402818,4594209,30997027
89,10/25/2019,2019,Countdown,Horror,Original Screenplay,Live Action,Contemporary Fiction,6500000,25621766,11200023,36821789
90,9/27/2019,2019,Judy,Drama,Based on Real Life Events,Live Action,Dramatization,0,24319961,19578111,43898072
91,2/14/2019,2019,Fighting With My Family,Comedy,Based on Real Life Events,Live Action,Dramatization,11000000,22958583,18544506,41503089
92,5/17/2019,2019,A Dog’s Journey,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,16000000,22782371,55253601,78035972
93,5/24/2019,2019,Booksmart,Comedy,Original Screenplay,Live Action,Contemporary Fiction,6000000,22680962,2268850,24949812
94,7/12/2019,2019,Stuber,Comedy,Original Screenplay,Live Action,Contemporary Fiction,16000000,22370452,7264317,29634769
95,12/13/2019,2019,Richard Jewell,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000,22345542,20755028,43100570
96,8/16/2019,2019,47 Meters Down: Uncaged,Thriller/Suspense,Based on Movie,Live Action,Contemporary Fiction,12000000,22260900,15630677,37891577
97,10/25/2019,2019,Black and Blue,Action,Original Screenplay,Live Action,Contemporary Fiction,12000000,22012729,667249,22679978
98,4/12/2019,2019,Hellboy,Horror,Remake,Live Action,Super Hero,50000000,21903748,18882732,40786480
99,6/14/2019,2019,Shaft,Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,21360215,0,21360215
100,8/9/2019,2019,The Peanut Butter Falcon,Adventure,Original Screenplay,Live Action,Contemporary Fiction,6200000,20457158,2596595,23053753
